Time (ms),Name,Value
5,"Left speed","-0.0"
32,"Target velocity","0.85"
32,"Right speed","0.0"
58896,"Left speed","28.571430206298828"
58896,"Right speed","62.857147216796875"
58996,"Left speed","291.4285888671875"
58996,"Right speed","388.5714111328125"
59096,"Left speed","1057.1429443359375"
59097,"Right speed","994.2857055664062"
59196,"Right speed","1708.5714111328125"
59196,"Left speed","1765.7144775390625"
59296,"Left speed","2411.428955078125"
59296,"Right speed","2365.71435546875"
59397,"Left speed","2965.71484375"
59397,"Right speed","3085.714599609375"
59497,"Left speed","3405.715087890625"
59497,"Right speed","3502.85693359375"
59595,"Left speed","3851.428466796875"
59595,"Right speed","3834.28515625"
59697,"Right speed","4074.28564453125"
59697,"Left speed","4091.428466796875"
59796,"Left speed","4280.0"
59797,"Right speed","4268.57080078125"
59896,"Left speed","4428.57177734375"
59896,"Right speed","4462.857421875"
59996,"Left speed","4548.5712890625"
59997,"Right speed","4565.71484375"
60097,"Left speed","4662.857421875"
60097,"Right speed","4657.142578125"
60196,"Right speed","4725.71435546875"
60197,"Left speed","4725.71484375"
60296,"Left speed","4777.142578125"
60296,"Right speed","4777.142578125"
60398,"Left speed","4822.857421875"
60398,"Right speed","4834.2861328125"
60497,"Left speed","4857.14306640625"
60497,"Right speed","4862.85693359375"
60597,"Left speed","4891.4287109375"
60597,"Right speed","4885.71484375"
60698,"Right speed","4800.00146484375"
60698,"Left speed","4782.85791015625"
60799,"Left speed","4600.00146484375"
60799,"Right speed","4611.42919921875"
60899,"Left speed","4457.1435546875"
60899,"Right speed","4445.71484375"
60998,"Left speed","4531.4287109375"
60998,"Right speed","4560.0"
61098,"Left speed","4651.42822265625"
61098,"Right speed","4645.71484375"
61199,"Right speed","4720.00048828125"
61199,"Left speed","4720.0"
61299,"Left speed","4685.71484375"
61299,"Right speed","4702.857421875"
61398,"Left speed","4525.71484375"
61399,"Right speed","4497.14453125"
61499,"Left speed","4405.71533203125"
61499,"Right speed","4382.8583984375"
61599,"Left speed","4508.572265625"
61599,"Right speed","4497.14453125"
61700,"Right speed","4582.85791015625"
61700,"Left speed","4565.71435546875"
61799,"Left speed","4434.2861328125"
61799,"Right speed","4445.71484375"
61900,"Left speed","4337.142578125"
61900,"Right speed","4308.572265625"
62000,"Left speed","4360.0009765625"
62000,"Right speed","4394.2861328125"
62101,"Left speed","4342.85791015625"
62101,"Right speed","4354.2861328125"
62200,"Right speed","4251.42822265625"
62200,"Left speed","4239.99951171875"
62300,"Left speed","4188.57177734375"
62300,"Right speed","4177.1416015625"
62400,"Left speed","4314.28564453125"
62401,"Right speed","4285.7138671875"
62501,"Left speed","4217.14208984375"
62501,"Right speed","4200.0"
62600,"Left speed","4125.71533203125"
62600,"Right speed","4137.1435546875"
62701,"Left speed","4280.0"
62701,"Right speed","4257.14306640625"
62801,"Left speed","4417.14306640625"
62801,"Right speed","4411.4296875"
62901,"Left speed","4531.4296875"
62902,"Right speed","4560.001953125"
63001,"Left speed","4622.85791015625"
63002,"Right speed","4645.71484375"
63102,"Left speed","4714.28564453125"
63102,"Right speed","4714.2861328125"
63202,"Right speed","4759.99951171875"
63202,"Left speed","4765.71337890625"
63301,"Left speed","4805.7138671875"
63302,"Right speed","4805.71484375"
63402,"Left speed","4840.0"
63402,"Right speed","4845.7138671875"
63502,"Left speed","4862.857421875"
63503,"Right speed","4874.2861328125"
63602,"Left speed","4891.4287109375"
63603,"Right speed","4891.4287109375"
63702,"Right speed","4908.57177734375"
63702,"Left speed","4908.57177734375"
63803,"Left speed","4920.0009765625"
63803,"Right speed","4920.00048828125"
63903,"Left speed","4931.4287109375"
63903,"Right speed","4931.4296875"
64002,"Left speed","4942.8583984375"
64003,"Right speed","4937.14453125"
64103,"Left speed","4948.5712890625"
64103,"Right speed","4948.5732421875"
64203,"Right speed","4954.28759765625"
64203,"Left speed","4954.287109375"
64305,"Right speed","4965.7158203125"
64305,"Left speed","4960.0009765625"
64403,"Left speed","4891.4306640625"
64403,"Right speed","4851.4296875"
64503,"Left speed","4628.572265625"
64504,"Right speed","4537.1435546875"
64604,"Left speed","3988.572265625"
64605,"Right speed","4028.572265625"
64704,"Right speed","3440.00048828125"
64705,"Left speed","3388.5712890625"
64804,"Left speed","2731.42822265625"
64804,"Right speed","2788.57177734375"
64904,"Left speed","2028.572265625"
64904,"Right speed","1839.99951171875"
65004,"Left speed","1325.71435546875"
65005,"Right speed","1165.713623046875"
65104,"Left speed","605.7138671875"
65104,"Right speed","634.28564453125"
65204,"Right speed","308.571533203125"
65204,"Left speed","291.428466796875"
65304,"Left speed","131.428466796875"
65304,"Right speed","137.1429443359375"
65405,"Left speed","57.142822265625"
65406,"Right speed","40.0"
65506,"Left speed","17.14288330078125"
65506,"Right speed","17.14288330078125"
65604,"Left speed","-0.0"
65605,"Right speed","5.71429443359375"
65705,"Right speed","5.714286804199219"
65805,"Right speed","0.0"
132678,"Left speed","5.714285850524902"
132879,"Right speed","5.714285850524902"
133079,"Right speed","11.428571701049805"
133079,"Left speed","11.428570747375488"
133179,"Left speed","17.14285659790039"
133180,"Right speed","22.85714340209961"
133279,"Left speed","28.571430206298828"
133280,"Right speed","22.857145309448242"
133379,"Left speed","11.428573608398438"
133379,"Right speed","17.142860412597656"
133479,"Right speed","11.428573608398438"
133579,"Right speed","5.714286804199219"
133579,"Left speed","5.714286804199219"
133680,"Right speed","0.0"
133780,"Left speed","-0.0"
254513,"Right speed","5.714285850524902"
254612,"Left speed","11.428571701049805"
254612,"Right speed","11.428571701049805"
254713,"Right speed","28.571430206298828"
254713,"Left speed","28.571430206298828"
254813,"Left speed","40.000003814697266"
254813,"Right speed","45.71428680419922"
254913,"Left speed","45.71429443359375"
254914,"Right speed","45.714290618896484"
255012,"Left speed","45.714290618896484"
255113,"Left speed","34.285709381103516"
255113,"Right speed","34.28572082519531"
255213,"Left speed","22.85714340209961"
255213,"Right speed","22.85714340209961"
255314,"Left speed","11.428569793701172"
255314,"Right speed","17.14285659790039"
255414,"Left speed","-0.0"
255414,"Right speed","5.714286804199219"
255513,"Right speed","0.0"
255614,"Left speed","5.714286804199219"
255714,"Left speed","11.428571701049805"
255714,"Right speed","5.714285850524902"
255813,"Right speed","22.85714340209961"
255814,"Left speed","28.571430206298828"
255914,"Left speed","45.71428680419922"
255914,"Right speed","45.71428680419922"
256014,"Left speed","51.4285774230957"
256014,"Right speed","51.4285774230957"
256114,"Left speed","28.571434020996094"
256114,"Right speed","34.28572082519531"
256214,"Right speed","11.428573608398438"
256214,"Left speed","11.428573608398438"
256314,"Right speed","0.0"
256315,"Left speed","-0.0"
256415,"Right speed","0.0"
279140,"Left speed","-5.714285850524902"
279241,"Left speed","-0.0"
279441,"Left speed","5.714285850524902"
279540,"Left speed","-0.0"
286849,"Right speed","5.714285850524902"
286948,"Left speed","200.0"
286948,"Right speed","188.57144165039062"
287048,"Right speed","657.1428833007812"
287048,"Left speed","674.2857055664062"
287149,"Right speed","1354.28564453125"
287149,"Left speed","1360.0"
287249,"Left speed","2051.4287109375"
287249,"Right speed","2045.7142333984375"
287348,"Left speed","2657.14306640625"
287349,"Right speed","2828.571533203125"
287449,"Left speed","3308.57177734375"
287449,"Right speed","3308.57177734375"
287549,"Right speed","3674.285888671875"
287549,"Left speed","3674.285888671875"
287649,"Right speed","3954.28564453125"
287649,"Left speed","3960.00048828125"
287749,"Left speed","4177.1435546875"
287749,"Right speed","4171.4287109375"
287849,"Left speed","4342.857421875"
287850,"Right speed","4394.2861328125"
287950,"Left speed","4520.00048828125"
287950,"Right speed","4514.28564453125"
288049,"Right speed","4611.42822265625"
288049,"Left speed","4611.4296875"
288150,"Right speed","4685.71337890625"
288150,"Left speed","4685.71484375"
288250,"Left speed","4742.857421875"
288250,"Right speed","4742.857421875"
288350,"Left speed","4794.2861328125"
288351,"Right speed","4805.71435546875"
288450,"Left speed","4840.0"
288450,"Right speed","4839.99951171875"
288550,"Right speed","4868.5712890625"
288550,"Left speed","4868.57080078125"
288651,"Right speed","4891.4287109375"
288651,"Left speed","4891.4287109375"
288751,"Right speed","4908.57177734375"
288751,"Left speed","4902.85693359375"
288850,"Left speed","4920.00048828125"
288851,"Right speed","4920.0009765625"
288951,"Left speed","4805.71435546875"
288951,"Right speed","4811.43017578125"
289051,"Right speed","4605.71435546875"
289051,"Left speed","4605.71337890625"
289151,"Right speed","4445.71484375"
289151,"Left speed","4440.0"
289251,"Left speed","4514.2861328125"
289251,"Right speed","4514.28515625"
289352,"Left speed","4611.4296875"
289352,"Right speed","4640.0"
289452,"Left speed","4708.57275390625"
289452,"Right speed","4702.85791015625"
289552,"Right speed","4760.0"
289552,"Left speed","4760.0009765625"
289652,"Right speed","4800.00146484375"
289652,"Left speed","4805.7138671875"
289752,"Left speed","4845.71337890625"
289752,"Right speed","4840.00048828125"
289853,"Left speed","4868.5712890625"
289853,"Right speed","4868.57275390625"
289953,"Left speed","4891.42919921875"
289953,"Right speed","4897.14306640625"
290052,"Right speed","4891.4287109375"
290052,"Left speed","4885.71484375"
290153,"Right speed","4674.2861328125"
290153,"Left speed","4674.2861328125"
290253,"Left speed","4508.57275390625"
290253,"Right speed","4508.5712890625"
290353,"Left speed","4480.00048828125"
290353,"Right speed","4520.0009765625"
290453,"Left speed","4617.1435546875"
290453,"Right speed","4611.42919921875"
290553,"Right speed","4685.71435546875"
290553,"Left speed","4685.71435546875"
290653,"Right speed","4742.8564453125"
290653,"Left speed","4748.5712890625"
290753,"Left speed","4788.572265625"
290753,"Right speed","4794.28466796875"
290853,"Left speed","4828.57275390625"
290853,"Right speed","4840.0"
290954,"Left speed","4862.85693359375"
290954,"Right speed","4868.57177734375"
291053,"Right speed","4891.4296875"
291053,"Left speed","4885.71484375"
291154,"Right speed","4897.1435546875"
291154,"Left speed","4902.8583984375"
291254,"Left speed","4702.85791015625"
291254,"Right speed","4708.57275390625"
291354,"Left speed","4548.57177734375"
291355,"Right speed","4508.572265625"
291454,"Left speed","4531.4287109375"
291454,"Right speed","4525.71435546875"
291554,"Right speed","4622.857421875"
291555,"Left speed","4617.1435546875"
291655,"Right speed","4691.42822265625"
291655,"Left speed","4691.4296875"
291755,"Left speed","4765.71484375"
291755,"Right speed","4754.28515625"
291855,"Right speed","4811.42919921875"
291855,"Left speed","4805.71484375"
291955,"Left speed","4845.7138671875"
291955,"Right speed","4839.99951171875"
292055,"Right speed","4868.5712890625"
292056,"Left speed","4868.57080078125"
292155,"Right speed","4891.4287109375"
292156,"Left speed","4897.1435546875"
292256,"Right speed","4902.85888671875"
292256,"Left speed","4914.28662109375"
292356,"Right speed","4925.71630859375"
292356,"Left speed","4920.0009765625"
292456,"Left speed","4931.4296875"
292456,"Right speed","4937.14306640625"
292556,"Right speed","4942.8564453125"
292556,"Left speed","4942.857421875"
292656,"Right speed","4948.572265625"
292657,"Left speed","4954.2861328125"
292757,"Right speed","4960.00048828125"
292757,"Left speed","4954.28662109375"
292857,"Right speed","4960.001953125"
292857,"Left speed","4960.0"
292957,"Left speed","4965.71435546875"
292957,"Right speed","4965.71484375"
293057,"Left speed","4965.7158203125"
293057,"Right speed","4965.71533203125"
293157,"Left speed","4971.4296875"
293157,"Right speed","4971.4287109375"
293256,"Right speed","4971.4296875"
293356,"Right speed","4954.2861328125"
293356,"Left speed","4948.572265625"
293458,"Left speed","4731.4296875"
293458,"Right speed","4668.572265625"
293557,"Left speed","4559.99951171875"
293558,"Right speed","4508.572265625"
293656,"Left speed","4560.0009765625"
293656,"Right speed","4554.287109375"
293758,"Right speed","4645.71435546875"
293758,"Left speed","4645.7158203125"
293857,"Right speed","4714.28515625"
293857,"Left speed","4714.2861328125"
293958,"Left speed","4765.7138671875"
293959,"Right speed","4782.85693359375"
294056,"Left speed","4805.7138671875"
294056,"Right speed","4822.85693359375"
294159,"Left speed","4851.4287109375"
294159,"Right speed","4851.4296875"
294259,"Right speed","4845.71533203125"
294259,"Left speed","4845.71484375"
294359,"Right speed","4657.142578125"
294359,"Left speed","4651.4287109375"
294459,"Left speed","4502.857421875"
294459,"Right speed","4457.14306640625"
294559,"Left speed","4491.42919921875"
294559,"Right speed","4525.71484375"
294660,"Left speed","4622.857421875"
294660,"Right speed","4622.8564453125"
294759,"Right speed","4691.42822265625"
294759,"Left speed","4697.14306640625"
294859,"Right speed","4754.28515625"
294859,"Left speed","4754.28515625"
294960,"Left speed","4794.28466796875"
294960,"Right speed","4811.42724609375"
295060,"Left speed","4834.28515625"
295060,"Right speed","4839.9990234375"
295160,"Left speed","4868.572265625"
295160,"Right speed","4868.572265625"
295260,"Right speed","4891.42919921875"
295260,"Left speed","4891.43017578125"
295360,"Right speed","4902.8583984375"
295361,"Left speed","4908.572265625"
295461,"Left speed","4925.7138671875"
295462,"Right speed","4925.71435546875"
295560,"Left speed","4937.14306640625"
295560,"Right speed","4931.42919921875"
295661,"Left speed","4942.8583984375"
295661,"Right speed","4942.857421875"
295761,"Right speed","4954.28564453125"
295761,"Left speed","4954.287109375"
295861,"Right speed","4960.0"
295862,"Left speed","4960.0009765625"
295961,"Left speed","4960.00048828125"
295961,"Right speed","4965.71484375"
296061,"Left speed","4965.71484375"
296061,"Right speed","4965.71484375"
296162,"Right speed","4977.142578125"
296262,"Right speed","4977.14208984375"
296262,"Left speed","4971.4296875"
296361,"Right speed","4971.427734375"
296361,"Left speed","4971.4296875"
296462,"Left speed","4977.14453125"
296462,"Right speed","4977.14453125"
296562,"Right speed","4982.85791015625"
296662,"Left speed","4977.14453125"
296662,"Right speed","4977.142578125"
296762,"Right speed","4977.1435546875"
296762,"Left speed","4977.1435546875"
296862,"Right speed","4977.142578125"
296963,"Right speed","4982.857421875"
296963,"Left speed","4982.8583984375"
297062,"Left speed","4977.1435546875"
297062,"Right speed","4960.00048828125"
297162,"Left speed","4760.0"
297162,"Right speed","4771.4287109375"
297263,"Right speed","4377.1435546875"
297263,"Left speed","4365.71484375"
297363,"Right speed","3828.5712890625"
297363,"Left speed","3822.8564453125"
297463,"Left speed","3217.14306640625"
297463,"Right speed","3011.4287109375"
297563,"Left speed","2548.572265625"
297563,"Right speed","2319.99951171875"
297663,"Left speed","1594.28564453125"
297663,"Right speed","1605.7138671875"
297763,"Right speed","965.7138671875"
297763,"Left speed","965.71435546875"
297863,"Right speed","502.85693359375"
297863,"Left speed","508.57177734375"
297963,"Left speed","240.000244140625"
297963,"Right speed","188.5714111328125"
298064,"Left speed","108.571533203125"
298064,"Right speed","80.0"
298164,"Left speed","28.571441650390625"
298164,"Right speed","28.5714111328125"
298262,"Right speed","5.71429443359375"
298262,"Left speed","5.71429443359375"
298364,"Left speed","-0.0"
298365,"Right speed","0.0"
336205,"Left speed","34.28571319580078"
336206,"Right speed","28.571430206298828"
336306,"Left speed","297.1428527832031"
336306,"Right speed","285.71429443359375"
336406,"Left speed","834.2857666015625"
336406,"Right speed","1057.1429443359375"
336506,"Left speed","1537.1429443359375"
336506,"Right speed","1771.4285888671875"
336606,"Left speed","2411.4287109375"
336607,"Right speed","2411.428955078125"
336707,"Right speed","2960.000244140625"
336707,"Left speed","2960.00048828125"
336807,"Left speed","3400.000244140625"
336807,"Right speed","3405.71484375"
336906,"Left speed","3742.857421875"
336906,"Right speed","3845.71435546875"
337007,"Left speed","4022.857421875"
337008,"Right speed","4097.142578125"
337107,"Left speed","4285.71484375"
337107,"Right speed","4285.71484375"
337207,"Right speed","4434.2861328125"
337208,"Left speed","4434.2861328125"
337307,"Left speed","4548.5712890625"
337307,"Right speed","4554.2861328125"
337407,"Left speed","4640.00048828125"
337407,"Right speed","4662.85693359375"
337508,"Left speed","4708.5712890625"
337508,"Right speed","4737.14306640625"
337608,"Left speed","4782.857421875"
337608,"Right speed","4788.572265625"
337708,"Right speed","4828.5712890625"
337708,"Left speed","4822.85595703125"
337808,"Right speed","4862.857421875"
337808,"Left speed","4862.8564453125"
337908,"Left speed","4885.7138671875"
337908,"Right speed","4891.4287109375"
338009,"Left speed","4908.57177734375"
338009,"Right speed","4920.00048828125"
338108,"Left speed","4931.4287109375"
338108,"Right speed","4931.4296875"
338208,"Right speed","4942.8583984375"
338208,"Left speed","4942.8564453125"
338309,"Left speed","4954.28515625"
338309,"Right speed","4948.57275390625"
338409,"Left speed","4959.9990234375"
338409,"Right speed","4965.71484375"
338509,"Left speed","4971.42919921875"
338509,"Right speed","4971.4296875"
338609,"Left speed","4977.14453125"
338609,"Right speed","4977.14453125"
338709,"Left speed","4982.8583984375"
338709,"Right speed","4982.859375"
338809,"Right speed","4988.5732421875"
338909,"Right speed","4988.572265625"
338909,"Left speed","4988.5732421875"
339010,"Left speed","4988.5732421875"
339010,"Right speed","4994.2861328125"
339110,"Left speed","4994.2861328125"
339110,"Right speed","4994.28662109375"
339209,"Right speed","5000.0009765625"
339209,"Left speed","4994.287109375"
339310,"Right speed","4994.287109375"
339310,"Left speed","4994.2861328125"
339410,"Right speed","5000.0009765625"
339410,"Left speed","5000.0009765625"
339510,"Left speed","5000.0009765625"
339510,"Right speed","5000.0009765625"
339610,"Left speed","5000.0009765625"
339610,"Right speed","5000.0009765625"
339710,"Left speed","5000.00048828125"
339811,"Right speed","5000.0009765625"
339811,"Left speed","5000.0009765625"
339910,"Right speed","5000.0009765625"
339910,"Left speed","5000.0"
340010,"Left speed","5000.0009765625"
340010,"Right speed","5000.0009765625"
340111,"Left speed","5000.0009765625"
340111,"Right speed","5000.0009765625"
340211,"Right speed","5005.71484375"
340211,"Left speed","5000.0009765625"
340311,"Left speed","5005.71484375"
340311,"Right speed","5000.0009765625"
340411,"Left speed","5000.0"
340411,"Right speed","5005.71484375"
340511,"Left speed","5000.0009765625"
340511,"Right speed","5000.0009765625"
340611,"Left speed","5000.0009765625"
340611,"Right speed","5000.0009765625"
340712,"Right speed","5000.0009765625"
340712,"Left speed","5000.00048828125"
340812,"Left speed","5000.0"
340812,"Right speed","5000.0009765625"
340912,"Left speed","5005.7138671875"
340912,"Right speed","5000.0009765625"
341012,"Left speed","5005.7138671875"
341012,"Right speed","5000.0009765625"
341112,"Left speed","5000.0009765625"
341112,"Right speed","4994.287109375"
341212,"Right speed","4782.8583984375"
341212,"Left speed","4794.28515625"
341313,"Left speed","4594.28515625"
341313,"Right speed","4594.2861328125"
